ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-177,G. WooCommerce and commercial,Cart,"Review items, quantities, totals and next step",WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-178,G. WooCommerce and commercial,Empty cart,Recover to useful shop/editorial routes,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-179,G. WooCommerce and commercial,Cart errors and notices,"Explain stock, coupon, quantity and session issues",WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-180,G. WooCommerce and commercial,Checkout,Complete order with minimal friction,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-181,G. WooCommerce and commercial,Checkout validation,Associate errors with fields and summary,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-182,G. WooCommerce and commercial,Order review,"Verify items, totals, tax and delivery",WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-183,G. WooCommerce and commercial,Payment selection,Choose available payment with accessible controls,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-184,G. WooCommerce and commercial,Order received,Confirm order and next steps,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-185,G. WooCommerce and commercial,Failed order,Recover payment/order failure,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-186,G. WooCommerce and commercial,My Account dashboard,"Access orders, downloads, addresses and details",WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-187,G. WooCommerce and commercial,Orders,Browse order history,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-188,G. WooCommerce and commercial,Order detail,Understand one order and support path,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-189,G. WooCommerce and commercial,Downloads,Access entitled files and limits,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-190,G. WooCommerce and commercial,Addresses,Manage billing/shipping addresses,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-191,G. WooCommerce and commercial,Payment methods,Manage saved methods if enabled,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-192,G. WooCommerce and commercial,Account details,Manage identity and password,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-193,G. WooCommerce and commercial,Login,Access account securely,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-194,G. WooCommerce and commercial,Registration,Create account only when it provides value,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-195,G. WooCommerce and commercial,Lost password,Request reset securely,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-196,G. WooCommerce and commercial,Reset password,Set new password with clear requirements,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-197,G. WooCommerce and commercial,Logout confirmation,Confirm sign-out,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-198,G. WooCommerce and commercial,Store notices,Show commerce notices without generic Woo styling,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-199,G. WooCommerce and commercial,Coupon / promotion states,Apply and explain promotion outcomes,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-200,G. WooCommerce and commercial,Shipping / tax / availability notices,Explain consequential order conditions,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-201,G. WooCommerce and commercial,Transactional commerce email,Carry Hook identity into order messages,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
HTH-TPL-202,G. WooCommerce and commercial,Invoice / receipt / printable order,Provide clear printable record,WooCommerce fallback active — Hook v3 override/styling gap,"Inventory actual enabled block/template, apply semantic tokens and typography, and validate cart/checkout/account states."
