ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-086,D. Editorial and publication-specific,Water profile,"Provide privacy-safe water context, seasonality, access and stewardship",Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-087,D. Editorial and publication-specific,Destination / region profile,Orient by privacy-safe region without exposing sensitive access,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-088,D. Editorial and publication-specific,Guide / lodge / charter profile,Evaluate an approved service with evidence and disclosure,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-089,D. Editorial and publication-specific,Safety and stewardship guide,"Prepare for hazards, handling and conservation",Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-090,D. Editorial and publication-specific,Regulation-dependent page,Stop stale regulation information from appearing current,Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-091,D. Editorial and publication-specific,Conditions hub,Choose condition and water-reading pathways,Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-092,D. Editorial and publication-specific,Water-type hub,Browse by water type and environment,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-093,D. Editorial and publication-specific,Species hub,Browse species through habitat and technique pathways,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-094,D. Editorial and publication-specific,Technique hub,Browse techniques by presentation and objective,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-095,D. Editorial and publication-specific,Gear hub,"Browse systems, verdicts and comparisons",Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-096,D. Editorial and publication-specific,Season hub,Navigate season-dependent preparation and review dates,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-097,D. Editorial and publication-specific,Region hub,Browse public-safe regions and stewardship context,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-098,D. Editorial and publication-specific,Field-tested-status archive,"Separate tested, partial, planned and unsupported work",Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-099,D. Editorial and publication-specific,Mini Book / Mini Class landing,Introduce a bounded educational resource,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-100,D. Editorial and publication-specific,Mini Book / Mini Class lesson,Deliver one lesson with progress and next step,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-101,D. Editorial and publication-specific,Resource library,"Browse downloads, field cards, tools and guides",Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-102,D. Editorial and publication-specific,Downloadable field card,Provide a compact mobile/print field reference,Defined — implementation required,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
HTH-TPL-103,D. Editorial and publication-specific,Print setup card,"Carry setup, ratings, warnings and source date into the field",Defined in canonical template catalog — file/pattern completion varies,"Complete route file or pattern, then validate v3 visual and responsive differentiation."
