ID,Category,Template or Route / State,Reader Purpose,Completion Status,Remaining Gap / Next Action
HTH-TPL-137,F. Intelligence and application,Privacy stop,Suppress sensitive location or personal data,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-138,F. Intelligence and application,Stale-data state,Show review date and require refresh,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-139,F. Intelligence and application,Verification-required state,Require direct source confirmation,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-140,F. Intelligence and application,Loading state,Show bounded progress and task context,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-141,F. Intelligence and application,Empty state,Explain why no records or history exist,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-142,F. Intelligence and application,Offline state,Preserve local functionality or explain unavailability,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-143,F. Intelligence and application,Interrupted state,Recover from abandoned or lost flow,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-144,F. Intelligence and application,Validation-error state,Associate errors with fields and summary,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-145,F. Intelligence and application,System-error state,Explain failure without exposing internals,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-146,F. Intelligence and application,Save state,Confirm local or account save behavior,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-147,F. Intelligence and application,Saved-history state,Show saved results with deletion controls,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-148,F. Intelligence and application,Recovery state,Restore or restart safely,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-149,F. Intelligence and application,Clear-data state,Confirm scope and consequence before deletion,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-150,F. Intelligence and application,Export state,Prepare accessible export and status,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-151,F. Intelligence and application,Print result,Render decision logic and sources cleanly,Implemented for System Compatibility — must generalize across applications,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-152,F. Intelligence and application,No-JavaScript state,Explain supported fallback,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-153,F. Intelligence and application,Reduced-motion state,Remove trajectories/transforms while retaining sequence,Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
HTH-TPL-154,F. Intelligence and application,Forced-colors state,"Preserve labels, borders and focus in system colors",Defined — application-by-application implementation required,"Apply to System Compatibility, Honey Hole, Hatch Match, Presentation Planner and Rig Signal as applicable; test recovery paths."
